"gene_names","var_zt","var_ict"
"CHPF2",1.126,0.9951
"HSPA8",1.1464,1.0289
"KIAA0556",1.2565,1.0641
"CLEC4C",1.4332,1.4889
"NCKAP5L",0.94,0.6961
"MAPRE1",1.5326,1.6464
"RAB8B",0.9044,0.8661
"ZNF286A",1.245,1.2318
"ZNF275",0.7945,0.7705
"SLC15A3",0.807,0.5502
"GTDC1",1.1403,1.2251
"RAC1",1.1222,0.9142
"TGOLN2",1.6655,1.6804
"RAB11FIP4",1.2017,0.9207
"HADHA",1.5979,1.531
"SP100",1.4611,1.4342
"SART1",1.5868,1.5058
"SMARCA2",1.4152,1.5082
"MRPL42",1.4348,1.1771
"ZNF789",0.7276,0.4206
"ETF1",1.1985,1.1926
"ODF2L",1.3215,1.2125
"GPATCH8",1.5915,1.6581
"CLN8",0.9813,0.8757
"HLA-DRB1",0.9361,1.0249
"MED14",1.704,1.9166
"RUNX1",1.3353,1.2624
"ITGB1BP1",1.018,0.831
"MED12",1.3561,1.1184
"PYHIN1",1.5435,1.411
"C6orf89",1.7156,1.706
"ABCB7",0.9199,0.6295
"MARCKS",1.2818,1.2073
"ZSWIM7",1.2139,0.8469
"ZBTB43",1.4443,1.6729
"SMNDC1",1.745,1.6625
"MZF1",1.7218,1.676
